pokemon_id,name_en,name_ko,generation,sample_count,in_game_embedded,status,priority
1,Bulbasaur,이상해씨,1,1,True,field_covered,maintain
2,Ivysaur,이상해풀,1,0,True,in_game_only,maintain
3,Venusaur,이상해꽃,1,0,True,in_game_only,maintain
4,Charmander,파이리,1,8,True,field_covered,maintain
5,Charmeleon,리자드,1,8,True,field_covered,maintain
6,Charizard,리자몽,1,2,True,field_covered,maintain
7,Squirtle,꼬부기,1,0,True,in_game_only,maintain
8,Wartortle,어니부기,1,0,True,in_game_only,maintain
9,Blastoise,거북왕,1,0,True,in_game_only,maintain
10,Caterpie,캐터피,1,0,True,in_game_only,maintain
11,Metapod,단데기,1,0,True,in_game_only,maintain
12,Butterfree,버터플,1,0,True,in_game_only,maintain
13,Weedle,뿔충이,1,0,True,in_game_only,maintain
14,Kakuna,딱충이,1,0,True,in_game_only,maintain
15,Beedrill,독침붕,1,0,True,in_game_only,maintain
16,Pidgey,구구,1,0,True,in_game_only,maintain
17,Pidgeotto,피죤,1,0,True,in_game_only,maintain
18,Pidgeot,피죤투,1,0,True,in_game_only,maintain
19,Rattata,꼬렛,1,0,True,in_game_only,maintain
20,Raticate,레트라,1,0,True,in_game_only,maintain
21,Spearow,깨비참,1,0,True,in_game_only,maintain
22,Fearow,깨비드릴조,1,0,True,in_game_only,maintain
23,Ekans,아보,1,0,True,in_game_only,maintain
24,Arbok,아보크,1,0,True,in_game_only,maintain
25,Pikachu,피카츄,1,5,True,field_covered,maintain
26,Raichu,라이츄,1,0,True,in_game_only,maintain
27,Sandshrew,모래두지,1,0,True,in_game_only,maintain
28,Sandslash,고지,1,0,True,in_game_only,maintain
29,Nidoran♀,니드런♀,1,0,True,in_game_only,maintain
30,Nidorina,니드리나,1,0,True,in_game_only,maintain
31,Nidoqueen,니드퀸,1,0,True,in_game_only,maintain
32,Nidoran♂,니드런♂,1,0,True,in_game_only,maintain
33,Nidorino,니드리노,1,0,True,in_game_only,maintain
34,Nidoking,니드킹,1,0,True,in_game_only,maintain
35,Clefairy,삐삐,1,0,True,in_game_only,maintain
36,Clefable,픽시,1,0,True,in_game_only,maintain
37,Vulpix,식스테일,1,0,True,in_game_only,maintain
38,Ninetales,나인테일,1,0,True,in_game_only,maintain
39,Jigglypuff,푸린,1,0,True,in_game_only,maintain
40,Wigglytuff,푸크린,1,0,True,in_game_only,maintain
41,Zubat,주뱃,1,0,True,in_game_only,maintain
42,Golbat,골뱃,1,0,True,in_game_only,maintain
43,Oddish,뚜벅쵸,1,1,True,field_covered,maintain
44,Gloom,냄새꼬,1,0,True,in_game_only,maintain
45,Vileplume,라플레시아,1,0,True,in_game_only,maintain
46,Paras,파라스,1,0,True,in_game_only,maintain
47,Parasect,파라섹트,1,0,True,in_game_only,maintain
48,Venonat,콘팡,1,0,True,in_game_only,maintain
49,Venomoth,도나리,1,0,True,in_game_only,maintain
50,Diglett,디그다,1,0,True,in_game_only,maintain
51,Dugtrio,닥트리오,1,0,True,in_game_only,maintain
52,Meowth,나옹,1,0,True,in_game_only,maintain
53,Persian,페르시온,1,0,True,in_game_only,maintain
54,Psyduck,고라파덕,1,0,True,in_game_only,maintain
55,Golduck,골덕,1,0,True,in_game_only,maintain
56,Mankey,망키,1,0,True,in_game_only,maintain
57,Primeape,성원숭,1,0,True,in_game_only,maintain
58,Growlithe,가디,1,2,True,field_covered,maintain
59,Arcanine,윈디,1,8,True,field_covered,maintain
60,Poliwag,발챙이,1,0,True,in_game_only,maintain
61,Poliwhirl,슈륙챙이,1,0,True,in_game_only,maintain
62,Poliwrath,강챙이,1,0,True,in_game_only,maintain
63,Abra,캐이시,1,0,True,in_game_only,maintain
64,Kadabra,윤겔라,1,0,True,in_game_only,maintain
65,Alakazam,후딘,1,0,True,in_game_only,maintain
66,Machop,알통몬,1,0,True,in_game_only,maintain
67,Machoke,근육몬,1,0,True,in_game_only,maintain
68,Machamp,괴력몬,1,0,True,in_game_only,maintain
69,Bellsprout,모다피,1,0,True,in_game_only,maintain
70,Weepinbell,우츠동,1,0,True,in_game_only,maintain
71,Victreebel,우츠보트,1,8,True,field_covered,maintain
72,Tentacool,왕눈해,1,0,True,in_game_only,maintain
73,Tentacruel,독파리,1,0,True,in_game_only,maintain
74,Geodude,꼬마돌,1,0,True,in_game_only,maintain
